"LabID","All","Fine","Broad","HI.Fine","CNMI_HIArch","CNMI_Other","CNMI_NoHybrids","STRUCTURE_strata"
"133157","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"133158","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"133159","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"133162","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"133163","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"133164","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"133165","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"133166","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"133167","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"133181","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"133182","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"133183","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"133184","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"133185","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"133186","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"133193","All","MHI","HIArch","Pelagic","HIArch","Ttru",NA,"HIArch"
"394","Lhos","PHILIPPINES",NA,NA,NA,"Lhos",NA,"Lhos"
"395","Lhos","PHILIPPINES",NA,NA,NA,"Lhos",NA,"Lhos"
"399","Lhos","PHILIPPINES",NA,NA,NA,"Lhos",NA,"Lhos"
"452","Lhos","NORTH PACIFIC",NA,NA,NA,"Lhos",NA,"Lhos"
"453","Lhos","NORTH PACIFIC",NA,NA,NA,"Lhos",NA,"Lhos"
"454","Lhos","NORTH PACIFIC",NA,NA,NA,"Lhos",NA,"Lhos"
"2594","Lhos","PHILIPPINES",NA,NA,NA,"Lhos",NA,"Lhos"
"2595","Lhos","PHILIPPINES",NA,NA,NA,"Lhos",NA,"Lhos"
"2596","Lhos","PHILIPPINES",NA,NA,NA,"Lhos",NA,"Lhos"
"2597","Lhos","PHILIPPINES",NA,NA,NA,"Lhos",NA,"Lhos"
"2598","Lhos","PHILIPPINES",NA,NA,NA,"Lhos",NA,"Lhos"
"2599","Lhos","PHILIPPINES",NA,NA,NA,"Lhos",NA,"Lhos"
"2600","Lhos","PHILIPPINES",NA,NA,NA,"Lhos",NA,"Lhos"
"2601","Lhos","PHILIPPINES",NA,NA,NA,"Lhos",NA,"Lhos"
"2602","Lhos","PHILIPPINES",NA,NA,NA,"Lhos",NA,"Lhos"
"2604","Lhos","PHILIPPINES",NA,NA,NA,"Lhos",NA,"Lhos"
"2606","Lhos","PHILIPPINES",NA,NA,NA,"Lhos",NA,"Lhos"
"2607","Lhos","PHILIPPINES",NA,NA,NA,"Lhos",NA,"Lhos"
"2646","Lhos","PHILIPPINES",NA,NA,NA,"Lhos",NA,"Lhos"
